code	type	likes	comments	views	timestamp	caption	url
DRMgWAgElez	video	48	9	0	2025-11-18	JANGAN MAU TERTIPU, BELI RUMAH SUBSIDI KOK HARUS RENOVASI  Perumahan Mustika Lembayung Sumbersuko. Rumah Subsidi Tanpa Renovasi. Cukup 100 ribu saja sudah dapat rumah mewah di Mustika Lembayung Sumbersuko  KEUNGGULAN : ✅Free DP ✅lokasi strategis. 3 menit dari Pabrik Mustikatama ✅Fasilitas umum yang 	https://www.instagram.com/p/DRMgWAgElez/
DRMclxvkpMw	video	68	0	0	2025-11-18	BUKAN MEWAH TAPI MEWAH BANGET  Perumahan Bhumi Saka Arum, Rumah subsidi 2 lantai satu satunya di Lumajang. Rumah subsidi tanpa renovasi.   KEUNGGULAN : ✅2 lantai full dak cor ✅Angsuran 1 jutaan FLAT sampai LUNAS !!  ✅Free dapur, kanopi, tangga besi, pagar depan, pagar kanan kiri dan lantai granit ✅5	https://www.instagram.com/p/DRMclxvkpMw/
DDHEBHFxAn-	video	46	17	0	2024-12-03	Masih ribet mikirin parkiran? Tenang aja, solusinya cuma satu: Gardenia Arcapada Park! Parkiran luas, nyaman, nggak pake drama 🚗✨  Langsung hubungi 📞 Info lebih lanjut Hubungi: 082139484744  #GardeniaArcapadaPark #HunianNyaman #RumahImpian #InvestasiProperti #PerumahanAsri #PropertiMasaDepan #Lingku	https://www.instagram.com/p/DDHEBHFxAn-/
DZyyXITBKgf	video	18	8	0	2026-06-20	ADEK NO NO YA..😂  Daripada adeknya narik om nya, mending tertarik promo 100 ribu udah dapet rumah subsidi siap huni tanpa renovasi, di Mustika Lembayung Sumbersuko.  Info survei hubungi nomer dibawah ini⬇️ ☎️0813-3337-2016  #syahfalahproperty #ptlembayung #kpr #rumahsubsidi #perumahanlumajang	https://www.instagram.com/p/DZyyXITBKgf/
DZyvlPCP26E	video	19	3	0	2026-06-20	SAMPE BELA-BELAIN BEGADANG BUAT BALES CHAT USER😅  Marketing ini sampai terkapar gegara ngasih promo 100 ribu sudah bisa huni rumah istimewa di Mustika Lembayung Sumbersuko Lumajang.  Ready 20 unit saja, hubungi langsung sekarang juga. ☎️0813-3337-2016  #syahfalahproperty #ptlembayung #kpr #rumahsubs	https://www.instagram.com/p/DZyvlPCP26E/
DZrnWa0Bv_C	video	14	6	0	2026-06-17	KALO YANG INI SIH NGEJAR😂  Daripada ngejar yang ga pasti, mending ngejar promo 100 ribu udah dapet rumah istimewa, siap huni, tanpa renovasi di MUSTIKA LEMBAYUNG SUMBERSUKO Lumajang.   Buruan booking unitnya sekarang juga, biar kamu ga kehabisan unitnya. ☎️0813-3337-2016  #syahfalahproperty #ptlemba	https://www.instagram.com/p/DZrnWa0Bv_C/
DZriwc2hznQ	video	8	7	0	2026-06-17	PROGRESS PEMBANGUNAN RUMAH ISTIMEWA   Dimana lagi kalo bukan di MUSTIKA LEMBAYUNG SUMBERSUKO.  Cuma disini perumahan subsidi yang tanpa renovasi dan siap huni dengan model Ruangan open space yang nggak bikin pengap dan free DP, free biaya balik nama, cicilan 1juta flat sampai lunas..   Booking sekar	https://www.instagram.com/p/DZriwc2hznQ/
DZe5GofhHtU	video	11	5	0	2026-06-12	FIX INI SIH RUMAH IMPIANMU    Cuma di Perumahan Mustika Lembayung Sumbersuko.   Rumahnya subsidi, tapi speknya komersil. Full granit, free pagar, carport, kanopi.    Ada yang tau ga Mustika Lembayung Sumbersuko lokasinya dimana?   Tulis di kolom komen ya👇    Atau yang udah nggak sabar booking unit..	https://www.instagram.com/p/DZe5GofhHtU/
DZcTYb-j-92	carousel	26	0	0	2026-06-11	Syahfalah Group Hiring! Posisi yang dibutuhkan (Slide)➡️ 1. Admin  2. Kepala Proyek 3. Drafter 4. Content Creator  📍Lokasi Kerja  Kantor Syahfalah Properti Jalan Bondoyudo No. 55 Rogotrunan Lumajang  Kirim portofolio, cv dan lamaran kamu sebelum 20 Juni 2026 ke :  hrd.syahfalah@gmail.com 08151502235	https://www.instagram.com/p/DZcTYb-j-92/
DZXdNJCPx0W	video	54	10	0	2026-06-09	PILIH MANA..? Ngontrak = bayar punya orang.  Nyicil = bayar punya sendiri.  Mending uangnya buat nyicil yang pasti-pasti aja.  Pasti jadi rumahnya. Pasti ada sertifikatnya.  Di Mustika Lembayung Sumbersuko. Cuma 100 ribu, kamu udah dapet ruang tamu, 2 kamar tidur, dapur,  kamar mandi.  Mau survei du	https://www.instagram.com/p/DZXdNJCPx0W/
